id,type,text1,text2,text3,notes
,,,,,
#Tactical Systems,,,,,
#主力舰,,,,,
aEP_ExtremeOverload,SHIP_SYSTEM,"Immediately after activation, the ship gains additional temporary flux capacity and gradually increases the weapon's rate of fire and magazine reload speed. After deactivation, weapons are unusable for a period of time while the rate of flux dissipation is increased significantly.",进攻,,
aEP_NCReload,SHIP_SYSTEM,Generates a large amount of flux while greatly reducing the reload time of all missile weapons,进攻,,
aEP_DecomposerFastBuild,SHIP_SYSTEM,"Deploys double the amount of non-built-in fighter wings on this ship, but this particular wave of strikcraft will only deal half damage to ships of any size",进攻,,
aEP_BBLockOn,SHIP_SYSTEM,"Greatly increases weapon flux generation on targeted enemy ship, at the cost of continuously generate soft flux.",防御,,
aEP_NBFiringJet,SHIP_SYSTEM,Charges the ship forward while granting a bonus to maneuverability and the reload speed of all built-in weapons.,,,
,,,,,
#cruiser,,,,,
aEP_MDDroneLaunch,SHIP_SYSTEM,"Launches a shield drone to a designated position, which will deploy a large shield to protect friendly ships from damage.",,,
,,,,,
aEP_FCLBurst,SHIP_SYSTEM,"After a short preparation time, fires a recoil cannon, boosting maximum speed but reducing acceleration before the barrel cools. Projectiles fired from the cannon has very high damage and impact which decays with distance",防御,,
aEP_AMRelease,SHIP_SYSTEM,"Release the aircraft from control of the drone formation, the drone self-control to bomber mode, release all remaining missiles in the bomb bay #(seems to be a redundant entry)",进攻,,
aEP_ZLAmmoFeed,SHIP_SYSTEM,"Substantially increases the rate of fire, magazine loading speed, accuracy, bullet velocity while reducing recoil for all weapons",进攻,,
aEP_RLDamper,SHIP_SYSTEM,Briefly activates an energy field that massively improves armor effectiveness at the cost of disabling weapons and shields,进攻,,
aEP_DamperTanker,SHIP_SYSTEM,"Disables weapons and shields when activated, unfolds internally-folded armor, hence increase armor effectiveness by a large amount. Toggleable",进攻,,
aEP_FuelBurn,SHIP_SYSTEM,"Massively increases maximum speed and acceleration but renders the ship unable to turn, while continuously generating flux and consuming the antimatter fuel stored in the tanker. Toggleable",进攻,,
aEP_ArmorShield,SHIP_SYSTEM,"Inverts latent flux to strengthen the ship's armor, reducing damage to while generating hard flux. Stops the dispersion of hard flux when activated.",防御,,
aEP_HLDroneLunch,SHIP_SYSTEM,"Launch built-in repair drones to repair damaged weapons and engines extremely quickly and repair armor to a minimum of 15 percent, but it takes longer to recover from a drone being shot down #(seems to be a redundant entry)",防御,,
aEP_PDSiege,SHIP_SYSTEM,展开姿态稳定器来提高主武器的有效距离，开启后最高速度限制为10，大型槽位上的武器射程增加百分之100，期间所有武器射速减半且幅能消耗翻倍 #(seems to be a redundant entry),防御,,
aEP_RevolvingMissileLunch,SHIP_SYSTEM,"Launching missiles while this system is active reduces any hard flux in the ship, and missile weapons will not fire should there be insufficient hard flux. Has a long cooldown time and a maximum of four uses per battle, and equipped with a dead hand system to launch missile when this ship is destroyed. ",,,
aEP_ApproachThruster,SHIP_SYSTEM,"Massively increases maximum speed and acceleration but renders the ship unable to turn. Has a fuel limit, and is toggleable.",,,
aEP_RQReload,SHIP_SYSTEM,Generates large amounts of flux while loading a salvo of missile ammunition for all built in weapons.,,,
#驱逐,,,,,
aEP_YJDefenseStance,SHIP_SYSTEM,Fires an anti-aircraft barrage in all directions.,,,
aEP_CLWeaponReset,SHIP_SYSTEM,"Absorbs a percentage of built-up flux and uses it to speed up weapon rate-of-fire and reload of ballistic and energy weapons, then quickly returns the absorbed flux after activation",,,
aEP_LADamper,SHIP_SYSTEM,"Accelerates the weapon's rate of fire and magazine reload speed and improves effective armor value and damage reduction, but disables shields for the duration",,,
,,,,,
#护卫,,,,,
aEP_XLWeaponReset,SHIP_SYSTEM,"Absorbs a percentage of built-up flux and uses it to speed up weapon rate-of-fire and reload of ballistic and energy weapons, then quickly returns the absorbed flux after activation",,,
,,,,,
#战机战术系统,,,,,
aEP_DroneDamper,SHIP_SYSTEM,"Activates an energy field that massively improves armor effectiveness, which can only be used once",,,
aEP_DroneBurst,SHIP_SYSTEM,Dramatically increases the aircraft's speed while reducing its ability to steer. Toggleable,机动,,;
aEP_DroneDash,SHIP_SYSTEM,"Accelerates and significantly increases maximum speed, then gives a short steering bonus after the boost.",机动,,;
,,,,,
#船&&内置,,,,,
,,,,,
aEP_BB_radar,WEAPON,"The ""Pacesetter"" class famously has a outsized weapons calibration radar. For a radar of this power, mere exposure can cause hull damage and EMP damage. It is recommended that frigates are to not expose themselves to such a high powered radar.",,,
aEP_NC_missile,WEAPON,"Another focal point of the striking ""Warmpool"" class, the size of the missile gives an indication of its unusual effectiveness. Encapsulating some sort of parameter-modifying device within the projectile, its detonation would render a wide range of enemy ships virtually immobile.",,,
aEP_ZZ_cannon,WEAPON,"""专注""级舰体中安装的一种三联高斯炮，口径虽然不大，多亏了在创伤炮上实验完善的抛壳散热系统，能以与体积不符的射速向远距离目标释放子弹洪流，一门武器就能解决反护盾问题。#redunant",,,
aEP_tearing_beam,WEAPON,"The disintegration beam built into the ship can also act as a point defence weapon during non-disintegration missions, although its range and power cannot be guaranteed.",,,;
aEP_aa_missile,WEAPON,"This two-stage missile found on FSF ships, has amazing manoeuvrability and range, and is devastating to targets such as fighters that lack armour thanks to its fragmentation warhead.",,,
aEP_duiliu_main,WEAPON,用来打破临界点的武器，这套系统使用多级电磁加速赋予金属难以想象的动能，装备这种武器的战舰能将敌人彻底沉入光线永远无法到达的深空,,,
aEP_rq_missile,WEAPON,内置的中型反舰导弹，尽管性能劣于常规同级，配合战术系统可以连续发射，对于已经失去防御能力的舰船有很大的威胁,,,
aEP_yangzhongji_gun,WEAPON,可以大量布置的廊炮阵列，发射所消耗的幅能较少，伤害足够威胁大部分舰船。问题在于廊炮外置导致精度极差，以及过重弹头缓慢的飞行速度。,,,
aEP_neibo_main,WEAPON,某项技术交换的成果，这件曾是某种巨大战争机器主炮的武器以炮塔的形式安装在内波级的中央并与供弹器相连，能用火神炮的速度连续发射反舰弹药，是名副其实的中小舰船杀手,,,
,,,,,
,,,,,
aEP_DuiLiu,SHIP,"The ship, which only recently appeared in Perseus, is a symbol of the company's power and is a new face compared to the many experienced designs in the field. The main ship used by the FSF for a long time was the Pacesetter-Class designed in the days of the Domain of Man, but the FSF, since becoming a force in the Sector, needed a warship designed for itself, so the Thermocline-class was born. Neither heavily armoured nor fast; but with its densely packed weapon slots, if you can seize the moment, you can destroy the opponent with pure projection of power. This battleship will represent the FSF against rivals of its class in the galaxy.
The Thermocline symbolizes drastic changes in a short period of time, and its design without large slots makes weaker a conventional drawn-out gun battle, but in the hands of a brave captain, it can win battles without engaging in lengthy exchanges, and it is those who are convinced they will win in a narrow encounter that will gain the favor of the goddess of victory.
",,,;
aEP_NuanChi,SHIP,"Seemingly looking like an asteroid factory with engines and armor bolted onto it, the Warmpool-Class certainly fits the missile mainship designation. The cost of scaling up a miniature missile factory to full size is great; not only is the space redundancy for extended launcher modifications squeezed dry, but the frequency of missile launches suffers as well. But with increased time in the field, the full-size missile factory's steady stream of missile regeneration can make it prove its worth. Unlike its cluttered appearance, the Warmpool-Class takes full account of the need for impact mitigation and damage control in its hull structure and stores its munitions evenly, giving it not only good armor but also a near zero chance of overall destruction in the event of damage.

The haphazard layout of the Nuanchi class was also designed to accommodate the ""Reflash"" Ammunition Supply shipsystem, a loading device that uses standardized feeding modules to quickly feed ammunition from all parts of the ship to the missile launchers. This system supports continuous use when sufficient energy was available, allowing the Warmpool class to produce a terrific amount of launches in a short period of time. When the Warmpool class was officially commisioned, the mainstream view was that it was a bold expansion of the Gryphon-Class. Such a missile ship is a feared existence at all times, but it does not show the firepower that matches the number of missile slots. Then again, perhaps, the  people who have seen such a display of firepower no longer exist.",,,
aEP_BiaoBing,SHIP,"If the Paragon is the product of a mixture of the delusions of the senior admirals and the ambitions of the top brass of Tri-Tachyon, the Pacesetter is a solid step towards the energization of battleships. Unlike the Paragon-Class, which uses an advanced targeting core at no cost, the Javelin class uses a separate firing support radar designed to address the lack of energy weapon range. In order to bear the strain of this system, the Pacesetter-Class sacrificed much of its armor as a battleship in exchange for excellent, if not superior maneuverability, which, combined with the luxurious weapon slot configuration throughout the body, can cause terrifying pressure on the enemy in a single short burst.

Despite the huge sacrifices made, the Javelin class substantially cannot afford to keep its radar on at full power for long periods of time, which means that in a one-on-one encounter, most conventional live-fire battleships can easily suppress the Javelin class if they can maintain a superior range. The Javelin class is more like a return to the old days of traditional battleships, simple and practical, than the energy battleships that use advanced targeting cores that require a lot of highly skilled personnel to maintain. The Javelin should not have appeared in the Persean Sector, because neither the previously stationed battlegroup nor the XIV Battlegroup that came for rotation were equipped with the Pacesetter-Class, but the ship still appeared in the FSF Corporation's cargo list in an enigmatic way. Excluding the various additional rumors, one thing is certain, the founding fathers of FSF must have had close ties with certain executives before the Collapse and were able to get prototypes of various equipment under test.
",,,;
aEP_NeiBo,SHIP,"A battlecruiser built to hunt small ships, unlike most of the company's fleet which have slower characteristics and a focus on heavy firepower. The Internalwave employs a pulse burst propulsion system once used on strikecraft that can propel the giant in an instant. Another unique design is the turret module attached to the main gun, which has independent weapon and flux management systems, greatly reducing the pressure on the mothership's flux management. Although classified as a battlecruiser, its armor and structure are slightly higher than the company's battleships, making the Internalwave a slightly awkward design. As an alternative design of line ship, a large number of small slots are not conducive to taking damage, and it is easy to fall into a 'no guns available' scenario in an evenly matched battle, while on the other hand, the huge damage of the main gun is extremely dangerous towards small and medium-sized ships, which puts the captain's ability to select opponents to the test. In order to mitigate the effects of damage to the weapon slots, a modular armor is arranged on the bow, a move that increases frontal capability to a limited extent, but once this armor is disengaged, it is recommended that the Internalwave avoid combat with any warships of the same hull size.",,,;
aEP_ShangShengLiu,SHIP,"A heavy armored freighter only considered when the most dangerous routes are involved, the Upstream-Class, with armor and structure of no lesser quality than most battleships, is able to ignore most threats in the Sector. As the star of the special transport industry, it should never be treated as a mere cargo ship, considering its support systems, which can deploy additional armor to withstand massive damage until reinforcements arrive.

Relative to its supply needs, the maintenance of this folding armor requires more effort than imagined. But in consideration against the threat profiles of the most turbulent areas of the sector, its not that big of a deal.",,,;
aEP_ShangShengLiu_mk2,SHIP,"The modified Upstream-Class, the work of retired FSF designers, removes the telescopic external armor and arranged a series of gun galleries and auxiliary engines in the area of the original cargo hold.

The Upstream-Class has rarely been the target of pirate attacks, much less a successful victim, with only a few documented losses since its inception, and there is some untold story behind the appearance of this ship. Apparently, someone took a Upstream and found a retired designer to build this large iron block that was as close to an official modification as one could be. ",,,;
aEP_ShangShengLiu_mk3,SHIP,"A modification based on the Upstream-Ckass for transporting antimatter fuel. Statistically, in the business field of special fuel transport, the risk reduction from minimizing exposure to high-risk areas is far better than a slapping on a few more layers of armor, but the MK.III chose to do both. It is supported by a giant engine made up of multiple large engines connected in parallel, exceeding any conventional option in size and fuel consumption. After a long acceleration phase, it can traverse the battlefield at speeds that destroyers can't even hope to match.

The fuel needed to operate this monster engine comes directly from the cargo of the MK.III, making its actual effective capacity lower than the marked value. Although it may have consumed half of its cargo while crossing dangerous area, its arrival with what cargo remains would be considered a success.",,,;
,,,,,
aEP_HaiLiang,SHIP,"This cruiser, built similar to fire support platform of the space station, is designed as a kind of suppression warship. In order to complete the suppression of a large number of small ships, the Seaweight-Class has large slots in each direction to provide range and firepower advantages, and thus does not encounter the problem of facing multiple enemies in different directions with a single turret.  In the suppression mission, the relatively unimportant aspect of maneuverability and frontal capability is sacrificed. Few forces in the Sector have ordered this kind of warship, mainly because they generally have their own warships for these sort of specialist tasks, but a few marginal planets will order a small number to counter the use of high-speed ships for raids by small pirate groups.
",,,
aEP_ZhongLiu,SHIP,"The mainstay of the FSF fleet, the Midstream-Class was designed as a conventional cruiser made to make the best out of the company's strengths. Only slightly more protected than a typical light cruiser the Nakuru lacks the all-important manoeuvrability that makes it such an easy target to destroy, but when built up to a certain size and sharing the pressure with other ships, the Nakuru can quickly destroy any ship with a wide angle and overlapping slots.

The Midstream's powerful slot design combined with its extra range gives it a mainline level of gunnery capability, and protecting their vulnerability is the key to victory in a battle. The Midstream was one of the later designs to enter service in the FSF's fleet and as such represents the maturing of the Company's homemade designs.",,,
aEP_ReQuan,SHIP,"A light missile ship based on the hull of the Sidestrike class, it retains its built-in missile factories as a lighter version of the Warmpool class. Designed with a focus on ease of production, the Hot Spring class has only a limited number of slots for self-defence weapons, meaning that it can easily be taken out by any ship - even a frigate - that rushes into its vicinity. But even with its many drawbacks, its low deployment cost is reason enough for fleet commanders to favour it.",,,
aEP_ZhuanZhu,SHIP,"An indigenously designed gunnery cruiser, armed with a giant Gauss Cannon with an experimental weapon switching system, taking reference from the design of the Dominator class and possessing excellent frontal firepower, possessing a range advantage that cannot be understimated. This practice of building too much of the ship's firepower into the hull was much criticised by ship designers, who claimed that it greatly reduced the ship's versatility and made it difficult to tailor it for specific missions, but that complaint is often rebuked by the sheer firepower that it provides.
对于发射动能子弹的巨型武器，往往绕不开子弹口径，射程与效率三者间的平衡，三联高斯炮为了同时维持射程与相对较高的效率，选择减少子弹的口径，采取多管同时发射的方式制造大量伤害。""专注""级上使用了实验性质的武器切换系统，用来补偿核心纪元战舰普遍存在的实弹与能量武器射程差的问题，与其在过分的边际效应中提升能量武器射程，不如根据目标的远近在合适的时间选择合适的武器种类。尽管机动差劲，靠近""专注""的舰船要好好考虑一下能否承受只有在拓展纪元舰船上才足以供给的能量武器的狂轰滥炸。",,,;
aEP_ZhuanZhu_mk2,SHIP,"针对公司策略转向独立成军而重新设计的""专注""级，把占据舰体中间部分的三联高斯炮换成了通用的大槽位，战术系统也由实验性质的武器切换系统改为了反冲力系统。定位并非为对外销售强调单舰属性，而是更多的为舰队作战服务，牺牲装甲换取火力的同时靠战术系统保证战场生存。
反冲力系统并不能如机动推进器一样为舰船提供无与伦比的机动性，在爆发性后撤后没有队友的支援它就像它的基础型一样容易被摧毁。值得一提的是，快速改变速度对船内设计提出了更高的要求，尽管内置缓滞的立场能将巨大的加速度转为能量再缓慢释放以保护舰员，使用系统对于桌子上放满咖啡的杯子是一次毁灭性的打击。",,,
aEP_PingDing,SHIP,平定级在FSF的舰队中并不常见，因为其过于特化的设计常常只在围攻最困难的目标时才有它们出场的机会，这种拥有双主炮的炮击舰能在大部分舰船火控系统的锁定距离外的就摧毁它们。尽管自第一艘平定级在摧毁海盗聚集地任务中露面以来，这些舰船从未被用于势力冲突，但这些战争游戏规则的改变者永远被FSF的敌人纳入了考量。,,,
aEP_ShanHu,SHIP,"A support carrier, as part of the enhancement of the company's fleet aviation capabilities, in its initial version was much superior in maximum speed and deployment consumption. However, in subsequent discussions constant additions have turned it into not a pure aircraft carrier, but a support platform with both missile and shield drone systems integrated.",,,
,,,,,
aEP_ShenCeng,SHIP,"The design is stretches the limit of what a typical missile destroyer is, featuring a large missile and flight deck in a light cruiser package, leaving the Deeplayer-Class with no room for weapons other than a few point defence slots. The most controversial aspect of the ship is that the massive hull is equipped with only destroyer-class subsystems, and there are many indications that this newly launched destroyer is some kind of generalised version of a more specialised vessel.",,,;
aEP_ShenCeng_mk2,SHIP,"A prototype of the Deeplayer-Class Heavy Missile Destroyer, a carrier designed to transport and launch cruiser missiles, carrying only the necessary point defence slots to combat environments - which explains why such a large hull is equipped with only destroyer-class subsystems, as it originally existed as a pure carrier.",,,;
aEP_YangJi,SHIP,"A warship stuffed with guns on both sides and a classic FSF export model, it has a good balance of firepower and manoeuvrability, with a built in AA system giving it an additional layer of survivability. As an export model, universality is the first design criterion, and the simple maintenance requirements and slightly larger tonnage than a normal destroyer make it exceptionally popular in the fringes of the Sector. Excellent in single-ship and skirmish situations, but the relatively standard subsystems limits the its overall potential.",,,;
aEP_LiAnLiu,SHIP,"The company's general purpose high-speed destroyer, with three back-mounted turrets on the centre line, provides this warship with a wide range of firepower options. Not only that, but the ship's level of protection has not been sacrificed too much, making it suitable for a wide range of cruising missions, always on the front line of the Company's conflicts, and a staple export model. Despite the limited dispersion, the tactical system allows for a good amount of firepower at short notice by dropping shields.",,,;
aEP_CengLiu,SHIP,"A heavy destroyer providing fire support. Fitting the weapon re-invigoration system to medium to large ships is a difficult process, as the larger the ship is the more pressure it puts on the buffer zone, thus requiring a significant portion of the core hull to be reinforced with bulkheads. This was all to boost the limited firepower boost; as such deploying a destroyer of this type required a fairly strict adherence to certain tactical regulations, rending it useless in untrained hands.",,,
